Description/Owner,RPC Program Number,Short Name,Reference
Unassigned,120004 - 120099,,[RFC5531]
,120100,eserver,[RFC5531]
,120101,repserver,[RFC5531]
,120102,swserver,[RFC5531]
,120103,dmd,[RFC5531]
,120104,ca,[RFC5531]
Unassigned,120105 - 120125,,[RFC5531]
,120126,nf_fddi,[RFC5531]
,120127,nf_fddismt7_2,[RFC5531]
Unassigned,120128 - 150000,,[RFC5531]
pc passwd authorization,150001,pcnfsdprog,[RFC5531]
TOPS name mapping,150002,[unknown],[RFC5531]
TOPS external attribute storage,150003,[unknown],[RFC5531]
TOPS hierarchical file system,150004,[unknown],[RFC5531]
TOPS NFS transparency extensions,150005,[unknown],[RFC5531]
PC NFS License,150006,pcnfslicense,[RFC5531]
RDA,150007,rdaprog,[RFC5531]
WabiServer,150008,wsprog,[RFC5531]
WabiServer,150009,wsrlprog,[RFC5531]
Unassigned,150010 - 160000,,[RFC5531]
,160001,nihon-cm,[RFC5531]
,160002,nihon-ce,[RFC5531]
Unassigned,160003 - 170099,,[RFC5531]
,170100,domf_daemon0,[RFC5531]
,170101,domf_daemon1,[RFC5531]
,170102,domf_daemon2,[RFC5531]
,170103,domf_daemon3,[RFC5531]
,170104,domf_daemon4,[RFC5531]
,170105,domf_daemon5,[RFC5531]
Unassigned,170106 - 179999,,[RFC5531]
,180000,cecprog,[RFC5531]
,180001,cecsysprog,[RFC5531]
,180002,cec2cecprog,[RFC5531]
,180003,cesprog,[RFC5531]
,180004,ces2cesprog,[RFC5531]
,180005,cet2cetprog,[RFC5531]
,180006,cet2cetdoneprog,[RFC5531]
,180007,cetcomprog,[RFC5531]
,180008,cetsysprog,[RFC5531]
,180009,cghapresenceprog,[RFC5531]
,180010,cgdmsyncprog,[RFC5531]
,180011,cgdmcnscliprog,[RFC5531]
,180012,cgdmcrcscliprog,[RFC5531]
,180013,cgdmcrcssvcproG,[RFC5531]
,180014,chmprog,[RFC5531]
,180015,chmsysprog,[RFC5531]
,180016,crcsapiprog,[RFC5531]
,180017,ckptmprog,[RFC5531]
,180018,crimcomponentprog,[RFC5531]
,180019,crimqueryprog,[RFC5531]
,180020,crimsecondaryprog,[RFC5531]
,180021,crimservicesprog,[RFC5531]
,180022,crimsyscomponentprog,[RFC5531]
,180023,crimsysservicesprog,[RFC5531]
,180024,csmagtapiprog,[RFC5531]
,180025,csmagtcallbackprog,[RFC5531]
,180026,csmreplicaprog,[RFC5531]
,180027,csmsrvprog,[RFC5531]
,180028,cssccltprog,[RFC5531]
,180029,csscsvrprog,[RFC5531]
,180030,csscopresultprog,[RFC5531]
Unassigned,180031 - 199999,,[RFC5531]
,200000,pyramid_nfs,[RFC5531]
,200001,pyramid_reserved,[RFC5531]
,200002,cadds_image,[RFC5531]
,200003,stellar_name_prog,[RFC5531]
,200004,[unknown],[RFC5531]
,200005,[unknown],[RFC5531]
,200006,pacl,[RFC5531]
,200007,lookupids,[RFC5531]
,200008,ax_statd_prog,[RFC5531]
,200009,ax_statd2_prog,[RFC5531]
,200010,edm,[RFC5531]
,200011,dtedirwd,[RFC5531]
,200012,[unknown],[RFC5531]
,200013,[unknown],[RFC5531]
,200014,[unknown],[RFC5531]
,200015,[unknown],[RFC5531]
,200016,easerpcd,[RFC5531]
,200017,rlxnfs,[RFC5531]
,200018,sascuiddprog,[RFC5531]
,200019,knfsd,[RFC5531]
,200020,ftnfsd ftnfsd_program,[RFC5531]
,200021,ftsyncd ftsyncd_program,[RFC5531]
,200022,ftstatd ftstatd_program,[RFC5531]
,200023,exportmap,[RFC5531]
,200024,nfs_metadata,[RFC5531]
Unassigned,200025 - 200200,,[RFC5531]
,200201,ecoad,[RFC5531]
,200202,eamon,[RFC5531]
,200203,ecolic,[RFC5531]
