Description/Owner,RPC Program Number,Short Name,Reference
,390118,cdslicense,[RFC5531]
,390119,shm,[RFC5531]
,390120,rws,[RFC5531]
,390121,cdc,[RFC5531]
Data General,390122 - 390141,,[RFC5531]
Perfect Byte,390142 - 390171,,[RFC5531]
JTS Computer Systems,390172 - 390181,,[RFC5531]
Parametric Technology,390182 - 390191,,[RFC5531]
Voxem,390192 - 390199,,[RFC5531]
Effix Systems,390200 - 390299,,[RFC5531]
Motorola,390300 - 390309,,[RFC5531]
Mobile Data Intl.,390310 - 390325,,[RFC5531]
Physikalisches Institut,390326 - 390330,,[RFC5531]
Ergon Informatik AG,390331 - 390340,,[RFC5531]
Analog Devices Inc.,390341 - 390348,,[RFC5531]
Interphase Corporation,390349 - 390358,,[RFC5531]
NeWsware,390359 - 390374,,[RFC5531]
Qualix Group,390375 - 390379,,[RFC5531]
Xerox Imaging Systems,390380 - 390389,,[RFC5531]
Noble Net,390390 - 390399,,[RFC5531]
Legato Network Services,390400 - 390499,,[RFC5531]
Client Server Tech.,390500 - 390511,,[RFC5531]
Atria,390512 - 390517,,[RFC5531]
GE NMR Instruments,390518 - 390525,,[RFC5531]
Harris Corp.,390526 - 390530,,[RFC5531]
Unisys,390531 - 390562,,[RFC5531]
Aggregate Computing,390563 - 390572,,[RFC5531]
Interactive Data,390573 - 390580,,[RFC5531]
OKG AB,390581 - 390589,,[RFC5531]
K2 Software,390591 - 390594,,[RFC5531]
Collier Jackson,390595 - 390599,,[RFC5531]
Remedy Corporation,390600 - 390699,,[RFC5531]
Mentor Graphics,390700 - 390799,,[RFC5531]
AT&T Bell Labs (Lucent),390800 - 390899,,[RFC5531]
Xerox,390900 - 390999,,[RFC5531]
Silicon Graphics,391000 - 391063,,[RFC5531]
Data General,391064 - 391095,,[RFC5531]
Computer Support Corp.,391096 - 391099,,[RFC5531]
Quorum Software Systems,391100 - 391199,,[RFC5531]
InterLinear Technology,391200 - 391209,,[RFC5531]
Highland Software,391210 - 391229,,[RFC5531]
Boeing Comp. Svcs.,391230 - 391249,,[RFC5531]
IBM Sweden,391250 - 391259,,[RFC5531]
Signature Authority Svc,391260 - 391271,,[RFC5531]
ZUMTOBEL Licht GmbH,391272 - 391283,,[RFC5531]
NOAA/ERL,391284 - 391299,,[RFC5531]
NCR Corp.,391300 - 391399,,[RFC5531]
FTP Software,391400 - 391409,,[RFC5531]
Cadre Technologies,391410 - 391433,,[RFC5531]
Visionware Ltd (UK),391434 - 391439,,[RFC5531]
IBR-Partner AG,391440 - 391449,,[RFC5531]
CAP Programator AB,391450 - 391459,,[RFC5531]
Reichle+De-Massari AG,391460 - 391474,,[RFC5531]
Swiss Bank Corp (London),391475 - 391484,,[RFC5531]
Unisys Enterprise Svr,391485 - 391489,,[RFC5531]
Intel - Test Dev. Tech.,391490 - 391499,,[RFC5531]
Ampex,391500 - 391755,,[RFC5531]
,391756,naas-spare,[RFC5531]
,391757,naas-admin,[RFC5531]
,391758,isps,[RFC5531]
,391759,isps-admin,[RFC5531]
,391760,mars,[RFC5531]
,391761,mars-admin,[RFC5531]
,391762,attcis_spare0,[RFC5531]
,391763,attcis_spare1,[RFC5531]
,391764,mail-server,[RFC5531]
,391765,mail-server-spare,[RFC5531]
,391766,attcis_spare2,[RFC5531]
,391767,attcis_spare3,[RFC5531]
,391768,attcis_spare4,[RFC5531]
,391769,attcis_spare5,[RFC5531]
,391770,attcis_spare6,[RFC5531]
,391771,attcis_spare7,[RFC5531]
"Integrated Systems, Inc.",391772 - 391779,,[RFC5531]
"Parametric Tech., Inc.",391780 - 391789,,[RFC5531]
Ericsson Telecom AB,391790 - 391799,,[RFC5531]
SLAC,391800 - 391849,,[RFC5531]
,391850,qhrdata,[RFC5531]
,391851,qhrbackup,[RFC5531]
,391852,minutedata,[RFC5531]
,391853,prefecture,[RFC5531]
,391854,supc,[RFC5531]
,391855,suadmincrw,[RFC5531]
,391856,suadminotas,[RFC5531]
,391857,sumessage,[RFC5531]
,391858,sublock,[RFC5531]
,391859,sumotd,[RFC5531]
staffware dev. (uk),391860 - 391869,,[RFC5531]
Staffware Dev. (UK),391870 - 391879,,[RFC5531]
,391880,namesrvr,[RFC5531]
,391881,disksrvr,[RFC5531]
,391882,tapesrvr,[RFC5531]
,391883,migsrvr,[RFC5531]
,391884,pdmsrvr,[RFC5531]
,391885,pvrsrvr,[RFC5531]
,391886,repacksrvr,[RFC5531]
,391887,[unknown],[RFC5531]
Convex Computer Corp.,391888 - 391951,,[RFC5531]
,391952,lookoutsrv,[RFC5531]
,391953,lookoutagnt,[RFC5531]
,391954,lookoutprxy,[RFC5531]
,391955,lookoutsnmp,[RFC5531]
,391956,lookoutrmon,[RFC5531]
,391957,lookoutfut1,[RFC5531]
,391958,lookoutfut2,[RFC5531]
windward,391959 - 391967,,[RFC5531]
,391968,sra_legato,[RFC5531]
,391969,sra_legato_imgsvr,[RFC5531]
,391970,sra_legato_0,[RFC5531]
,391971,sra_legato_1,[RFC5531]
,391972,sra_legato_2,[RFC5531]
,391973,sra_legato_3,[RFC5531]
,391974,sra_legato_4,[RFC5531]
,391975,sra_legato_5,[RFC5531]
,391976,sra_legato_6,[RFC5531]
,391977,sra_legato_7,[RFC5531]
,391978,sra_legato_8,[RFC5531]
,391979,sra_legato_9,[RFC5531]
Brooktree Corp.,391980 - 391989,,[RFC5531]
Cadence        Design Systems,391990 - 391999,,[RFC5531]
J. Frank & Associates,392000 - 392999,,[RFC5531]
Cooperative Solutions,393000 - 393999,,[RFC5531]
Xerox Corp.,394000 - 395023,,[RFC5531]
,395024,odbc_sqlretriever,[RFC5531]
3M,395025 - 395091,,[RFC5531]
Digital Zone Intl.,395092 - 395099,,[RFC5531]
Software Professionals,395100 - 395159,,[RFC5531]
Del Mar Solutions,395160 - 395164,,[RFC5531]
,395165,ife-es,[RFC5531]
,395166,ife-resmgr,[RFC5531]
,395167,ife-aes,[RFC5531]
,395168,ife-bite,[RFC5531]
,395169,ife-loader,[RFC5531]
,395170,ife-satcom,[RFC5531]
,395171,ife-seat,[RFC5531]
,395172,ife-dbmgr,[RFC5531]
,395173,ife-testmgr,[RFC5531]
,395174,atrium_server,[RFC5531]
,395175,ase_director,[RFC5531]
,395176,ase_agent,[RFC5531]
,395177,ase_hsm,[RFC5531]
,395178,ase_mgr,[RFC5531]
,395179,ase_sim,[RFC5531]
Hewlett-Packard,395180 - 395194,,[RFC5531]
"XES, Inc.",395195 - 395199,,[RFC5531]
Unitech Products,395200 - 395249,,[RFC5531]
TransSys,395250 - 395505,,[RFC5531]
Unisys Govt Systems,395506 - 395519,,[RFC5531]
Bellcore,395520 - 395529,,[RFC5531]
IBM,395530 - 395561,,[RFC5531]
AT&T Network Services,395562 - 395571,,[RFC5531]
Data General,395572 - 395577,,[RFC5531]
Swiss Bank Corp,395578 - 395597,,[RFC5531]
Swiss Bank Corp,395598 - 395637,,[RFC5531]
Novell,395638 - 395643,,[RFC5531]
Computer Associates,395644 - 395650,,[RFC5531]
Omneon Video Networks,395651 - 395656,,[RFC5531]
Unassigned,395657 - 395908,,[RFC5531]
UK Post Office,395909 - 395924,,[RFC5531]
AEROSPATIALE,395925 - 395944,,[RFC5531]
Result d.o.o.,395945 - 395964,,[RFC5531]
"DataTools, Inc.",395965 - 395980,,[RFC5531]
"CADIS, Inc.",395981 - 395990,,[RFC5531]
"Cummings Group, Inc.",395991 - 395994,,[RFC5531]
Cadre Technologies,395995 - 395999,,[RFC5531]
American Airlines,396000 - 396999,,[RFC5531]
Ericsson Telecom TM Div,397000 - 398023,,[RFC5531]
IBM,398024 - 398028,,[RFC5531]
Toshiba OME Works,398029 - 398033,,[RFC5531]
TUSC Computer Systems,398034 - 398289,,[RFC5531]
AT&T,398290 - 398320,,[RFC5531]
Ontario Hydro,398321 - 398346,,[RFC5531]
Micrion Corporation,398347 - 398364,,[RFC5531]
Unassigned,398365 - 398591,,[RFC5531]
"Pegasystems, Inc.",398592 - 399616,,[RFC5531]
Spectra Securities Soft,399617 - 399850,,[RFC5531]
QualCom,399851 - 399866,,[RFC5531]
Unassigned,399867 - 399884,,[RFC5531]
Altris Software Ltd.,399885 - 399899,,[RFC5531]
ISO/IEC WG11,399900 - 399919,,[RFC5531]
Parametric Technology,399920 - 399949,,[RFC5531]
Dolby Laboratories,399950 - 399981,,[RFC5531]
Unassigned,399982 - 399991,,[RFC5531]
Xerox PARC,399992 - 399999,,[RFC5531]
Sun Microsystems fabric management,400000-400009,mcm,[Predrag_Hodoba][Bjorn-Dag_Johnsen]
Partner Service/NetApp,400010,NetAppPartnerSvc,[Manjunath_Shankararao]
Oropo,400011-400110,Oropo,[Maciej_Smolenski][http://www.oropo.org]
"Tintri, Inc.",400111,TintriServices,[Vyacheslav_Malyugin]
gss-proxy,400112,gss-proxy,[Nicolas_Williams][Simo_Sorce]
Extended NFS services,400113,inasx,[Arnon_Kanfi]
Coho Data,400114-400121,CohoDataServices,[Earl_Chew]
Unassigned,400122-200099999,,
Next Inc.,200100000 - 200199999,,[RFC5531]
Netwise (RPCtool),200200000,,[RFC5531]
Concurrent Computer Corp,200200001 - 200200007,,[RFC5531]
Unassigned,200200008-200299999,,[RFC5531]
AIM Technology,200300000 - 200399999,,[RFC5531]
TGV,200400000 - 200499999,,[RFC5531]
